A;N-Z;N;Z;Element;O;ME [keV];Error ME [keV];BINDING ENERGY/A [keV];Error BINDING ENERGY/A [keV];ATOMIC MASS [µu];Error ATOMIC MASS [µu];Extrapolated?
66;4;35;31;Ga;   -;-63723.72900;1.09200;8669.36310;0.01660;65931589.76600;1.17200;False
66;2;34;32;Ge;   x;-61607.04100;2.40100;8625.43830;0.03640;65933862.12400;2.57700;False
66;0;33;33;As;   x;-52025.08400;5.68200;8468.40340;0.08610;65944148.77800;6.10000;False
66;-2;32;34;Se;   x;-41660.00000;200.00000;8300.00000;3.00000;65955276.00000;215.00000;True
66;-4;31;35;Br;   x;-23570.00000;400.00000;8014.00000;6.00000;65974697.00000;429.00000;True
67;21;44;23;V;   x;-1744.00000;600.00000;7829.00000;9.00000;66998128.00000;644.00000;True
67;19;43;24;Cr;   x;-19270.00000;400.00000;8079.00000;6.00000;66979313.00000;429.00000;True
67;17;42;25;Mn;   x;-33580.00000;200.00000;8281.00000;3.00000;66963950.00000;215.00000;True
67;15;41;26;Fe;   x;-45708.41600;3.81900;8449.93590;0.05700;66950930.00000;4.10000;False
67;13;40;27;Co;   x;-55321.78300;6.44300;8581.74220;0.09620;66940609.62500;6.91700;False
67;11;39;28;Ni;   x;-63742.68800;2.88800;8695.75050;0.04310;66931569.41300;3.10000;False
67;9;38;29;Cu;    ;-67319.55300;0.89200;8737.45970;0.01330;66927729.49000;0.95700;False
67;7;37;30;Zn;    ;-67880.37600;0.75500;8734.15340;0.01130;66927127.42200;0.81000;False
67;5;36;31;Ga;    ;-66879.15600;1.17600;8707.53300;0.01760;66928202.27600;1.26200;False
67;3;35;32;Ge;    ;-62673.71800;4.31900;8633.08840;0.06450;66932716.99900;4.63600;False
67;1;34;33;As;    ;-56587.23200;0.44300;8530.56850;0.00660;66939251.11000;0.47500;False
67;-1;33;34;Se;   x;-46580.29400;67.06800;8369.53440;1.00100;66949994.00000;72.00000;False
67;-3;32;35;Br;   x;-32530.00000;300.00000;8148.00000;4.00000;66965078.00000;322.00000;True
67;-5;31;36;Kr; -pp;-15552.00000;424.00000;7883.00000;6.00000;66983305.00000;455.00000;True
68;20;44;24;Cr;   x;-15690.00000;500.00000;8026.00000;7.00000;67983156.00000;537.00000;True
68;18;43;25;Mn;   x;-28920.00000;300.00000;8209.00000;4.00000;67968953.00000;322.00000;True
68;16;42;26;Fe;   x;-43897.00000;193.00000;8418.00000;3.00000;67952875.00000;207.00000;True
68;14;41;27;Co;    ;-51642.59100;3.85900;8520.13010;0.05670;67944559.40100;4.14200;False
68;12;40;28;Ni;   x;-63463.82200;2.98100;8682.46670;0.04380;67931868.78700;3.20000;False
68;10;39;29;Cu;   x;-65567.04300;1.58400;8701.89130;0.02330;67929610.88700;1.70000;False
68;8;38;30;Zn;    ;-70007.15400;0.77800;8755.68200;0.01150;67924844.23200;0.83500;False
68;6;37;31;Ga;   -;-67086.05400;1.43000;8701.21950;0.02100;67927980.16100;1.53500;False
68;4;36;32;Ge;   x;-66978.79900;1.87600;8688.13710;0.02760;67928095.30500;2.01400;False
68;2;35;33;As;    ;-58894.52700;1.84600;8557.74570;0.02710;67936774.12700;1.98100;False
68;0;34;34;Se;   x;-54189.44900;0.49600;8477.04820;0.00730;67941825.23600;0.53200;False
68;-2;33;35;Br;  -p;-38791.00000;259.00000;8239.00000;4.00000;67958356.00000;278.00000;True
68;-4;32;36;Kr;   x;-25626.00000;500.00000;8034.00000;7.00000;67972489.00000;537.00000;True
69;21;45;24;Cr;   x;-9630.00000;500.00000;7939.00000;7.00000;68989662.00000;537.00000;True
69;19;44;25;Mn;   x;-25360.00000;400.00000;8155.00000;6.00000;68972775.00000;429.00000;True
69;17;43;26;Fe;   x;-39199.00000;200.00000;8345.00000;3.00000;68957918.00000;215.00000;True
69;15;42;27;Co;   x;-50385.44700;85.69700;8495.40620;1.24200;68945909.00000;92.00000;False
69;13;41;28;Ni;   x;-59978.65600;3.72600;8623.09980;0.05400;68935610.26700;4.00000;False
69;11;40;29;Cu;   x;-65736.22100;1.39700;8695.20440;0.02030;68929429.26700;1.50000;False
69;9;39;30;Zn;  -n;-68417.90600;0.79500;8722.73110;0.01150;68926550.36000;0.85300;False
69;7;38;31;Ga;    ;-69327.82000;1.19700;8724.57980;0.01740;68925573.52800;1.28500;False
69;5;37;32;Ge;    ;-67100.67400;1.31800;8680.96400;0.01910;68927964.46700;1.41400;False
69;3;36;33;As;    ;-63112.18100;31.99900;8611.82140;0.46380;68932246.28900;34.35200;False
69;1;35;34;Se;    ;-56434.71400;1.49000;8503.70820;0.02160;68939414.84500;1.59900;False
69;-1;34;35;Br;  -p;-46259.47800;42.00300;8344.90260;0.60870;68950338.41000;45.09100;False
69;-3;33;36;Kr;   x;-32140.00000;300.00000;8129.00000;4.00000;68965496.00000;322.00000;True
70;22;46;24;Cr;   x;-5640.00000;600.00000;7884.00000;9.00000;69993945.00000;644.00000;True
70;20;45;25;Mn;   x;-20450.00000;500.00000;8084.00000;7.00000;69978046.00000;537.00000;True
70;18;44;26;Fe;   x;-36890.00000;300.00000;8308.00000;4.00000;69960397.00000;322.00000;True
70;16;43;27;Co;   x;-46524.96300;10.99200;8434.19800;0.15700;69950053.40000;11.80000;False
70;14;42;28;Ni;   x;-59213.86800;2.14400;8604.29170;0.03060;69936431.30000;2.30100;False
70;12;41;29;Cu;   x;-62976.38100;1.08200;8646.86550;0.01550;69932392.07800;1.16100;False
70;10;40;30;Zn;    ;-69564.74800;1.91800;8729.80860;0.02740;69925319.17500;2.05800;False
70;8;39;31;Ga;    ;-68910.15000;1.20100;8709.28080;0.01720;69926021.91400;1.28900;False
70;6;38;32;Ge;    ;-70562.03600;0.82000;8721.70280;0.01170;69924248.54200;0.88000;False
70;4;37;33;As;   x;-64333.97300;1.39700;8621.55410;0.02000;69930934.64200;1.50000;False
70;2;36;34;Se;   x;-61929.90000;1.58400;8576.03380;0.02260;69933515.52100;1.70000;False
70;0;35;35;Br;   x;-51425.62700;14.90400;8414.79640;0.21290;69944792.32100;16.00000;False
70;-2;34;36;Kr;   x;-41100.00000;200.00000;8256.00000;3.00000;69955877.00000;215.00000;True
71;21;46;25;Mn;   x;-16620.00000;500.00000;8030.00000;7.00000;70982158.00000;537.00000;True
71;19;45;26;Fe;   x;-31930.00000;400.00000;8235.00000;6.00000;70965722.00000;429.00000;True
71;17;44;27;Co;   x;-44369.93000;465.03000;8398.73440;6.54970;70952366.92300;499.23000;False
71;15;43;28;Ni;   x;-55406.23600;2.23700;8543.15640;0.03150;70940518.96200;2.40100;False
71;13;42;29;Cu;   x;-62711.13400;1.49000;8635.02330;0.02100;70932676.83100;1.60000;False
71;11;41;30;Zn;    ;-67328.78600;2.65400;8689.04170;0.03740;70927719.57800;2.84900;False
71;9;40;31;Ga;    ;-70139.12700;0.81100;8717.60500;0.01140;70924702.55400;0.87000;False
71;7;39;32;Ge;    ;-69906.65700;0.81500;8703.31180;0.01150;70924952.12000;0.87400;False
71;5;38;33;As;   -;-67893.25700;4.16300;8663.93500;0.05860;70927113.59400;4.46900;False
71;3;37;34;Se;   x;-63146.51500;2.79400;8586.06060;0.03940;70932209.43100;3.00000;False
71;1;36;35;Br;    ;-56502.42600;5.40200;8481.46290;0.07610;70939342.15300;5.79900;False
71;-1;35;36;Kr;    ;-46327.21100;128.76900;8327.13100;1.81360;70950265.69500;138.23800;False
71;-3;34;37;Rb;   x;-32290.00000;400.00000;8118.00000;6.00000;70965335.00000;429.00000;True
72;22;47;25;Mn;   x;-11170.00000;600.00000;7955.00000;8.00000;71988009.00000;644.00000;True
72;20;46;26;Fe;   x;-29250.00000;500.00000;8195.00000;7.00000;71968599.00000;537.00000;True
72;18;45;27;Co;   x;-40300.00000;300.00000;8338.00000;4.00000;71956736.00000;322.00000;True
72;16;44;28;Ni;   x;-54226.06800;2.23700;8520.21180;0.03110;71941785.92400;2.40100;False
72;14;43;29;Cu;   x;-59783.00600;1.39700;8586.52560;0.01940;71935820.30600;1.50000;False
72;12;42;30;Zn;   x;-68145.49500;2.14200;8691.80530;0.02980;71926842.80600;2.30000;False
72;10;41;31;Ga;    ;-68588.28400;0.81800;8687.08930;0.01140;71926367.45200;0.87800;False
72;8;40;32;Ge;    ;-72585.91000;0.07600;8731.74590;0.00110;71922075.82400;0.08100;False
72;6;39;33;As;   -;-68229.80800;4.08300;8660.37860;0.05670;71926752.29100;4.38300;False
72;4;38;34;Se;   x;-67868.18900;1.95600;8644.49020;0.02720;71927140.50600;2.10000;False
